epoch,train_loss,iou,dice,f1,epoch_time,throughput
152,0.1014,0.5890,0.7384,0.7384,26.4831,4.0781
153,0.1006,0.5840,0.7341,0.7341,26.5956,4.0608
154,0.1000,0.5916,0.7404,0.7404,26.5642,4.0656
155,0.0992,0.5804,0.7312,0.7312,26.6493,4.0526
156,0.0990,0.5925,0.7406,0.7406,26.4351,4.0855
157,0.0995,0.5749,0.7264,0.7264,26.6513,4.0523
158,0.0988,0.5717,0.7240,0.7240,26.5703,4.0647
159,0.0985,0.5857,0.7362,0.7362,26.6837,4.0474
160,0.0983,0.5816,0.7322,0.7322,26.5118,4.0737
161,0.0976,0.5849,0.7346,0.7346,26.5443,4.0687
162,0.0971,0.5569,0.7112,0.7112,26.5635,4.0657
163,0.0972,0.5386,0.6952,0.6952,26.6059,4.0593
164,0.0978,0.5798,0.7305,0.7305,26.4328,4.0858
165,0.0974,0.5512,0.7062,0.7062,26.5943,4.0610
166,0.0966,0.5779,0.7287,0.7287,26.4131,4.0889
167,0.0956,0.5517,0.7064,0.7064,26.8066,4.0289
168,0.0949,0.5892,0.7383,0.7383,26.5380,4.0696
169,0.0943,0.5916,0.7404,0.7404,26.3774,4.0944
170,0.0936,0.5836,0.7339,0.7339,26.6248,4.0564
171,0.0934,0.5908,0.7396,0.7396,26.3973,4.0913
172,0.0925,0.5779,0.7290,0.7290,26.3760,4.0946
173,0.0918,0.5689,0.7216,0.7216,26.4372,4.0851
174,0.0922,0.5926,0.7413,0.7413,26.4530,4.0827
175,0.0928,0.5640,0.7172,0.7172,26.4343,4.0856
176,0.0938,0.5821,0.7334,0.7334,26.4119,4.0891
177,0.0946,0.6018,0.7487,0.7487,26.3001,4.1064
178,0.0937,0.5491,0.7045,0.7045,26.5379,4.0697
179,0.0928,0.5844,0.7341,0.7341,26.6366,4.0546
180,0.0913,0.5656,0.7182,0.7182,26.5929,4.0612
181,0.0905,0.5532,0.7079,0.7078,26.4260,4.0869
182,0.0907,0.5943,0.7428,0.7428,26.4877,4.0774
183,0.0900,0.5621,0.7160,0.7160,26.5902,4.0616
184,0.0892,0.5884,0.7383,0.7383,26.5431,4.0689
185,0.0893,0.5713,0.7235,0.7235,26.2785,4.1098
186,0.0896,0.5940,0.7423,0.7423,26.5350,4.0701
187,0.0896,0.5942,0.7426,0.7426,26.4793,4.0787
188,0.0893,0.5842,0.7341,0.7341,26.5251,4.0716
189,0.0892,0.5883,0.7377,0.7377,26.7067,4.0439
190,0.0891,0.5774,0.7289,0.7289,26.6112,4.0584
191,0.0889,0.5911,0.7400,0.7400,26.4157,4.0885
192,0.0884,0.5926,0.7407,0.7407,26.6302,4.0555
193,0.0880,0.5899,0.7388,0.7388,26.6256,4.0562
194,0.0877,0.5850,0.7349,0.7349,26.7043,4.0443
195,0.0871,0.5834,0.7337,0.7337,26.4815,4.0783
196,0.0863,0.5780,0.7292,0.7292,26.5967,4.0606
197,0.0861,0.5948,0.7431,0.7431,26.6798,4.0480
198,0.0855,0.5712,0.7237,0.7237,26.6179,4.0574
199,0.0865,0.5918,0.7408,0.7408,26.4497,4.0832
200,0.0859,0.5812,0.7320,0.7320,26.4538,4.0826
